Pressure - Time: 0, Voltage: 0.53 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.50 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2120.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2016.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 413.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 672.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.55 V, Pressure: 258.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.55 V, Pressure: 1551.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.55 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2171.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2792.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.55 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 206.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 0.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2533.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2016.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.55 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2585.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.50 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.56 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 258.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1551.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 672.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 0.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2585.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 2120.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 310.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 310.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 413.7 Pa, Depth: 0.00 m
PID - Time: 26998, Error: 18013208694489229733920768.000, Moved: 282688174392675573694464.000 mL
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 362.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 0.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2068.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.50 V, Pressure: 672.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.50 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1499.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 155.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.50 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1396.2 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 2016.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1499.6 Pa, Depth: 0.00 m
PID - Time: 26998, Error: 18013208694489229733920768.000, Moved: 282688174392675573694464.000 mL
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1861.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1654.7 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 310.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1551.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 827.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1965.0 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 775.7 Pa, Depth: 0.00 m
